Compressor,File,Original Size (bytes),Compressed Size (bytes),Decompressed Size (bytes),Compression Ratio (%)
RLECompressor,rutext,205303,206914,205303,1.008
HACompressor,bw.png,18245,17178,18245,0.942
HACompressor,rutext,205303,104289,205303,0.508
HACompressor,gray.png,391677,392702,391677,1.003
LZ77Compressor,bw.png,18245,36035,18245,1.975
RLECompressor,enwik7,10000000,10374482,10000000,1.037
LZ77Compressor,rutext,205303,140605,205304,0.685
HACompressor,bin.apk,6004085,5836938,6004085,0.972
HACompressor,enwik7,10000000,6413412,10000000,0.641
RLECompressor,bw.png,18245,18490,18245,1.013
RLECompressor,gray.png,391677,395577,391677,1.010
RLECompressor,color.png,16258177,16429385,16258177,1.011
RLECompressor,bin.apk,6004085,5870827,6004085,0.978
HACompressor,color.png,16258177,16259202,16258177,1.000
LZ78Compressor,enwik7,10000000,8112629,10000000,0.811
LZ77Compressor,gray.png,391677,950170,391677,2.426
LZ78Compressor,rutext,205303,182771,205303,0.890
BWTRLECompressor,bw.png,18245,18638,18245,1.022
BWTRLECompressor,rutext,205303,122568,205303,0.597
BWTRLECompressor,gray.png,391677,398764,391677,1.018
BWTRLECompressor,bin.apk,6004085,5372995,6004085,0.895
BWTMTFHACompressor,rutext,205303,82724,205303,0.403
BWTMTFHACompressor,bw.png,18245,18075,18245,0.991
BWTMTFHACompressor,gray.png,391677,395766,391677,1.010
BWTMTFHACompressor,enwik7,10000000,5312757,10000000,0.531
BWTRLECompressor,enwik7,10000000,9123227,10000000,0.912
BWTRLECompressor,color.png,16258177,16555834,16258177,1.018
BWTMTFRLEHACompressor,rutext,205303,80003,205303,0.390
BWTMTFRLEHACompressor,bw.png,18245,18534,18245,1.016
BWTMTFRLEHACompressor,gray.png,391677,399627,391677,1.020
BWTMTFHACompressor,bin.apk,6004085,5548547,6004085,0.924
LZ77HACompressor,gray.png,391677,655208,391677,1.673
LZ77HACompressor,rutext,205303,103178,205304,0.503
LZ77HACompressor,bw.png,18245,26427,18245,1.448
LZ77HACompressor,enwik7,10000000,6824461,10000001,0.682
LZ77Compressor,enwik7,10000000,9376455,10000001,0.938
LZ78Compressor,gray.png,391677,900851,391677,2.300
LZ78Compressor,bw.png,18245,44850,18245,2.458
BWTMTFRLEHACompressor,enwik7,10000000,6091758,10000000,0.609
LZ77Compressor,bin.apk,6004085,11863560,6004086,1.976
LZ78HACompressor,gray.png,391677,573623,391677,1.465
LZ78HACompressor,rutext,205303,115716,205303,0.564
LZ78HACompressor,bw.png,18245,25453,18245,1.395
BWTMTFHACompressor,color.png,16258177,16386226,16258177,1.008
LZ78Compressor,bin.apk,6004085,10397555,6004085,1.732
BWTMTFRLEHACompressor,bin.apk,6004085,5346674,6004085,0.891
LZ78HACompressor,bin.apk,6004085,7396252,6004085,1.232
LZ78Compressor,color.png,16258177,31121549,16258177,1.914
LZ78HACompressor,enwik7,10000000,5985630,10000000,0.599
BWTMTFRLEHACompressor,color.png,16258177,16547648,16258177,1.018
LZ78HACompressor,color.png,16258177,22266435,16258177,1.370
LZ77HACompressor,bin.apk,6004085,8288774,6004086,1.381
LZ77Compressor,color.png,16258177,39394330,16258178,2.423
LZ77HACompressor,color.png,16258177,27118754,16258178,1.668
